Name,Lat,Lon
IPROP,16.8383333333,110.0
ISBAN,19.0,114.388333333
ISGOD,38.2883333333,114.098333333
ITBAM,16.6666666667,109.601666667
JA,30.4852777778,111.566666667
JB,39.0443055556,116.197194444
JBALT,39.0899166667,116.201083333
JBX,37.2095,116.044305556
JD,32.4766666667,119.583333333
JDZ,29.3416666667,117.175
JF,29.6,120.813333333
JG,30.19,78.1744444444
JH,29.0833333333,119.616666667
JHG,21.8616666667,100.933333333
JIG,35.53,105.721666667
JIN,41.1016666667,121.058333333
JIU,29.4583333333,115.785
JK,20.0183333333,110.263333333
JMU,46.84,130.463333333
JN,37.4330555556,121.406111111
JNJ,24.8033333333,118.595
JR,39.7211111111,116.098333333
JS,39.1722222222,117.318888889
JSL,5.9,116.033611111
JSPNT,40.1,116.816666667
JTA,37.1966666667,104.078333333
JTG,30.8733333333,104.391666667
JUNDS,40.2330555556,116.325
JW,25.0083333333,110.016666667
JY,41.065,123.12
KABAN,14.1583333333,121.456666667
KABAY,6.45166666667,125.286666667
KABOT,30.5716666667,121.721666667
KADMO,4.18333333333,114.128333333
KAGAK,49.2666666667,118.1
KAGIP,37.6666666667,122.0
KAKAT,42.1833333333,118.255
KALNO,39.2,119.9
KAMIN,2.57833333333,108.926666667
KAMSO,24.6683333333,109.84
KAMUD,41.5666666667,78.8333333333
KAPLI,21.1666666667,117.5
KATGU,1.385,107.096666667
KC,23.7291666667,109.229166667
KCA,41.7116666667,82.995
KD,38.9533333333,121.591666667
KEITH,21.0047222222,134.944166667
KG,29.9175,113.693888889
KH,44.6,82.9166666667
KHG,39.545,76.0216666667
KHN,28.4283333333,115.921666667
KI,43.5833333333,77.4833333333
KILOG,21.8741666667,114.693611111
KITAN,8.09666666667,124.876666667
KJ,40.8683333333,111.89
KM,40.3893888889,115.498
KMALT,40.3619166667,115.518722222
KMG,25.03,102.738333333
KMX,40.9469166667,112.331277778
KN,27.745,120.651666667
KOW,25.8233333333,114.913333333
KR,39.1433333333,114.598333333
KUDAT,6.90833333333,116.833333333
KURUM,40.1,74.0916666667
KW,36.5216666667,114.425
KWE,26.5216666667,106.793333333
KWL,25.2122222222,110.035833333
KX,30.4744444444,114.309722222
KY,41.7066666667,123.745
KYU,42.635,124.006666667
LA,30.0038888889,122.405277778
LADIX,39.1294444444,116.992388889
LADOP,0.0,119.453333333
LAGOT,7.275,111.545
