Name	Latitude			Longitude		
GUAVA	N22	09	36.0	E114	03	36.0
GUILI	N25	12	0.0	E110	13	0.0
GULEK	N36	27	48.0	E115	24	24.0
GUPAD	N36	18	42.0	E110	28	24.0
GURIN	N21	49	45.0	E113	00	0.0
GURNI	N32	09	12.0	E120	58	42.0
GUTIK	N37	21	48.0	E126	15	48.0
GUVLA	N26	55	42.0	E116	36	30.0
GYA	N23	04	18.0	E112	29	6.0
GYN	N32	23	18.0	E105	41	30.0
HALMO	N01	08	42.0	E126	32	36.0
HANGB	N40	12	0.0	E116	22	0.0
HB	N42	19	54.0	E118	50	12.0
HCH	N37	39	12.0	E120	32	36.0
HD	N41	32	0.0	E113	09	0.0
HDH	N36	31	36.0	E114	25	18.0
HDS	N39	29	30.0	E109	51	36.0
HENGA	N22	39	0.0	E114	12	0.0
HERON	N21	19	48.0	E113	53	34.0
HET	N40	50	54.0	E111	49	18.0
HFE	N31	46	33.0	E117	17	59.0
HG	N37	43	18.0	E115	42	30.0
HGH	N30	19	39.0	E120	13	46.0
HJ	N44	01	0.0	E089	38	0.0
HKG	N22	13	0.0	E114	14	54.0
HL	N49	12	32.0	E119	47	37.0
HLD	N49	12	12.0	E119	49	18.0
HLH	N46	11	48.0	E122	00	30.0
HM	N30	04	6.0	E115	54	48.0
HMI	N42	50	0.0	E093	38	18.0
HO	N35	12	12.0	E107	46	30.0
HONGX	N30	19	6.0	E104	05	12.0
HRB	N45	37	42.0	E126	15	30.0
HSH	N31	22	12.0	E121	50	42.0
HSN	N29	56	0.0	E122	21	48.0
HT	N25	15	0.0	E118	00	30.0
HTN	N37	02	6.0	E079	52	6.0
HUA	N28	34	7.0	E121	26	2.0
HUR	N40	19	45.0	E116	44	49.9
HW	N33	28	48.0	E118	42	24.0
HX	N26	51	42.0	E104	16	48.0
HXS	N30	19	6.0	E104	05	12.0
HY	N28	34	37.0	E109	27	14.0
HYN	N28	34	42.0	E109	27	6.0
HZ	N30	39	0.0	E113	09	0.0
IBAVI	N06	34	12.0	E112	42	36.0
ICG	N39	06	47.3	E117	21	2.1
ID	N31	40	5.0	E118	43	1.0
IDOSI	N19	00	0.0	E112	30	0.0
IDOXO	N06	02	42.0	E113	23	12.0
IDSEG	N27	40	54.0	E105	41	12.0
IDSID	N27	37	48.0	E105	06	36.0
IGNIS	N17	21	0.0	E111	09	0.0
IJ	N47	52	6.0	E134	38	48.0
IJS	N39	08	0.0	E117	20	18.0
IKAGA	N43	36	54.0	E129	18	42.0
IKATA	N23	45	54.0	E117	08	12.0
IKELA	N18	39	42.0	E112	14	42.0
IKENU	N29	38	0.0	E119	25	0.0
IKITI	N45	54	54.0	E121	14	6.0
IKJ	N40	51	1.0	E111	50	5.0
IKUNI	N10	08	5.0	E107	32	56.0
ILG	N40	05	55.0	E116	34	15.0
IML	N32	58	36.0	E112	36	18.0
INTIK	N43	40	48.0	E111	54	6.0
INTXN	N24	04	12.0	E100	34	36.0
INX	N36	16	19.0	E120	22	22.0
IOO	N10	43	4.0	E122	32	45.0
IPROP	N16	50	18.0	E110	00	0.0
ISBAN	N19	00	0.0	E114	23	18.0
ISGOD	N38	17	18.0	E114	05	54.0
ITBAM	N16	40	0.0	E109	36	6.0
JA	N30	29	7.0	E111	34	0.0
JB	N39	02	39.5	E116	11	49.9
JBALT	N39	05	23.7	E116	12	3.9
JBX	N37	12	34.2	E116	02	39.5
JD	N32	28	36.0	E119	35	0.0
JDZ	N29	20	30.0	E117	10	30.0
JF	N29	36	0.0	E120	48	48.0
JG	N30	11	24.0	E078	10	28.0
JH	N29	05	0.0	E119	37	0.0
JHG	N21	51	42.0	E100	56	0.0
JIG	N35	31	48.0	E105	43	18.0
JIN	N41	06	6.0	E121	03	30.0
JIU	N29	27	30.0	E115	47	6.0
JK	N20	01	6.0	E110	15	48.0
JMU	N46	50	24.0	E130	27	48.0
JN	N37	25	59.0	E121	24	22.0
JNJ	N24	48	12.0	E118	35	42.0
JR	N39	43	16.0	E116	05	54.0
JS	N39	10	20.0	E117	19	8.0
JSL	N05	54	0.0	E116	02	1.0
JSPNT	N40	06	0.0	E116	49	0.0
JTA	N37	11	48.0	E104	04	42.0
JTG	N30	52	24.0	E104	23	30.0
JUNDS	N40	13	59.0	E116	19	30.0
JW	N25	00	30.0	E110	01	0.0
JY	N41	03	54.0	E123	07	12.0
KABAN	N14	09	30.0	E121	27	24.0
KABAY	N06	27	6.0	E125	17	12.0
KABOT	N30	34	18.0	E121	43	18.0
KADMO	N04	11	0.0	E114	07	42.0
KAGAK	N49	16	0.0	E118	06	0.0
KAGIP	N37	40	0.0	E122	00	0.0
KAKAT	N42	11	0.0	E118	15	18.0
KALNO	N39	12	0.0	E119	54	0.0
KAMIN	N02	34	42.0	E108	55	36.0
KAMSO	N24	40	6.0	E109	50	24.0
KAMUD	N41	34	0.0	E078	50	0.0
KAPLI	N21	10	0.0	E117	30	0.0
KATGU	N01	23	6.0	E107	05	48.0
KC	N23	43	45.0	E109	13	45.0
KCA	N41	42	42.0	E082	59	42.0
KD	N38	57	12.0	E121	35	30.0
KEITH	N21	00	17.0	E134	56	39.0
KG	N29	55	3.0	E113	41	38.0
KH	N44	36	0.0	E082	55	0.0
KHG	N39	32	42.0	E076	01	18.0
KHN	N28	25	42.0	E115	55	18.0
KI	N43	35	0.0	E077	29	0.0
KILOG	N21	52	27.0	E114	41	37.0
KITAN	N08	05	48.0	E124	52	36.0
KJ	N40	52	6.0	E111	53	24.0
KM	N40	23	21.8	E115	29	52.8
KMALT	N40	21	42.9	E115	31	7.4
KMG	N25	01	48.0	E102	44	18.0
KMX	N40	56	48.9	E112	19	52.6
KN	N27	44	42.0	E120	39	6.0
KOW	N25	49	24.0	E114	54	48.0
KR	N39	08	36.0	E114	35	54.0
KUDAT	N06	54	30.0	E116	50	0.0
KURUM	N40	06	0.0	E074	05	30.0
KW	N36	31	18.0	E114	25	30.0
KWE	N26	31	18.0	E106	47	36.0
KWL	N25	12	44.0	E110	02	9.0
KX	N30	28	28.0	E114	18	35.0
KY	N41	42	24.0	E123	44	42.0
KYU	N42	38	6.0	E124	00	24.0
LA	N30	00	14.0	E122	24	19.0
LADIX	N39	07	46.0	E116	59	32.6
LADOP	N00	00	0.0	E119	27	12.0
LAGOT	N07	16	30.0	E111	32	42.0
LAIYA	N13	34	35.0	E121	23	43.0
LAMEN	N31	36	36.0	E124	00	0.0
LAMOK	N09	54	6.0	E123	45	0.0
LAO	N18	10	54.0	E120	31	48.0
LAPEN	N23	41	30.0	E113	37	0.0
LATUX	N35	32	0.0	E120	44	0.0
LBN	N23	43	48.0	E109	13	48.0
LC	N39	59	54.0	E119	46	54.0
LD	N29	31	20.0	E115	50	30.0
LEBAK	N36	00	0.0	E093	15	30.0
LEPNI	N43	55	24.0	E128	51	0.0
LEVBA	N27	56	54.0	E100	00	0.0
LEYAG	N36	56	6.0	E120	37	24.0
LG	N40	08	18.0	E116	33	48.0
LG1	N32	20	6.0	E111	42	36.0
LG2	N39	33	6.0	E076	04	36.0
LH	N21	08	0.0	E110	20	6.0
LHD	N05	01	30.0	E118	20	24.0
LIG	N27	37	42.0	E113	31	42.0
LIGHT	N44	30	0.0	E091	15	0.0
LIMES	N22	06	26.0	E113	46	33.0
LINSO	N23	22	30.0	E098	55	0.0
LIP	N13	57	24.0	E121	07	54.0
LIU	N24	12	6.0	E109	23	30.0
LJ	N47	11	42.0	E123	56	48.0
LJB	N43	46	18.0	E125	51	0.0
LJG	N26	13	18.0	E119	32	54.0
LKC	N22	22	44.0	E113	53	2.0
LKO	N29	54	54.0	E113	41	42.0
LLC	N28	04	0.0	E112	12	36.0
LM	N29	46	50.0	E121	32	29.0
LMN	N23	38	55.0	E114	19	41.0
LNY	N35	03	0.0	E118	24	48.0
LO	N23	05	24.0	E113	51	12.0
LOAY	N09	29	0.0	E123	59	42.0
LOGAN	N20	15	56.0	E114	22	1.0
LOLOT	N00	24	0.0	E117	08	36.0
LOSPO	N34	41	0.0	E114	46	0.0
LOTUS	N22	23	18.0	E114	11	6.0
LP	N43	52	41.0	E125	23	40.0
LQ	N23	05	28.0	E113	53	7.0
LR	N40	38	30.0	E117	05	54.0
LRA	N40	39	0.0	E117	15	0.0
LRALT	N40	35	51.0	E117	02	52.2
LRB	N40	56	0.0	E117	15	0.0
LRC	N40	47	30.0	E117	30	0.0
LRD	N40	52	30.0	E117	30	0.0
LRE	N41	00	0.0	E118	00	0.0
LRF	N41	05	0.0	E118	00	0.0
LRG	N41	00	0.0	E116	50	0.0
LRH	N41	00	0.0	E116	48	0.0
LRI	N41	02	30.0	E117	59	30.0
LRJ	N41	02	30.0	E118	00	30.0
LRU	N34	09	0.0	E112	50	36.0
LRX	N42	54	29.2	E119	00	43.6
LRZ	N40	33	38.8	E116	57	2.9
LS	N45	27	0.0	E126	12	42.0
LSO	N22	59	0.0	E097	45	0.0
LTA	N13	52	6.0	E121	48	30.0
LUANG	N00	15	30.0	E123	54	48.0
LUCG	N34	52	42.0	E117	45	42.0
LUCHE	N34	52	18.0	E117	45	42.0
LUM	N24	24	36.0	E098	32	18.0
LUMKO	N28	29	12.0	E113	35	24.0
LUVAR	N32	36	6.0	E099	00	0.0
LUX	N39	44	24.0	E118	43	36.0
LXA	N29	18	0.0	E091	00	0.0
LXI	N24	32	24.0	E103	44	30.0
LXS	N29	01	42.0	E105	06	0.0
LYA	N34	44	24.0	E112	23	42.0
LYG	N34	35	30.0	E118	53	6.0
LZ	N27	38	23.0	E113	32	6.0
LZH	N28	51	12.0	E105	23	6.0
MA	N22	13	19.0	E113	27	54.0
MABAG	N24	18	48.0	E114	30	24.0
MADON	N02	17	12.0	E117	24	0.0
MAGOG	N22	17	18.0	E115	49	24.0
MAGON	N39	27	24.0	E116	14	12.0
MAKDA	N27	16	15.0	E135	51	2.0
MAKIB	N27	39	6.0	E119	06	12.0
MAKNO	N38	27	48.0	E121	08	54.0
MAKUL	N24	03	6.0	E100	34	36.0
MAMOK	N04	05	6.0	E115	47	12.0
MAMSI	N25	11	30.0	E110	13	30.0
MANGO	N21	36	49.0	E114	30	53.0
MANGS	N40	16	12.0	E116	16	40.0
MANLI	N49	35	0.0	E117	27	0.0
MANSA	N41	47	24.0	E115	33	48.0
MAPDO	N32	36	36.0	E138	38	54.0
MAPMU	N37	12	24.0	E110	38	18.0
MARDA	N14	07	18.0	E114	00	0.0
MB	N31	35	19.0	E120	19	6.0
MBT	N12	22	10.0	E123	37	45.0
MC	N41	38	18.0	E086	04	30.0
MCU	N22	08	8.0	E113	35	52.0
MD	N01	33	18.0	E124	55	41.0
MEGOM	N06	42	54.0	E125	25	54.0
MELON	N22	16	10.0	E115	00	47.0
MENOR	N46	29	48.0	E114	01	54.0
MEPAN	N24	06	30.0	E105	42	12.0
MEPOG	N21	51	36.0	E112	32	48.0
METAN	N30	15	54.0	E121	12	48.0
MEVER	N40	28	0.0	E113	53	0.0
MEVIN	N21	00	16.0	E122	32	55.0
MH	N22	25	0.0	E113	47	6.0
MIDOX	N31	21	48.0	E115	52	48.0
MIGUG	N15	16	24.0	E114	00	0.0
MIMIK	N02	00	0.0	E133	17	0.0
MINOR	N12	17	38.0	E122	16	41.0
MIRRS	N22	24	17.0	E114	14	9.0
MJ	N45	39	36.0	E126	18	0.0
MJE	N34	07	9.0	E139	29	54.0
ML	N32	55	6.0	E112	32	54.0
MLT	N20	09	12.0	E110	40	30.0
MNO	N01	33	18.0	E124	55	42.0
MOLLY	N04	00	0.0	E123	43	6.0
MONBO	N14	30	0.0	E113	25	42.0
MORIT	N42	02	0.0	E102	49	0.0
MOTOM	N24	40	54.0	E109	48	54.0
MTL	N20	09	6.0	E110	40	24.0
MUBEL	N24	12	24.0	E111	16	30.0
MUDAL	N36	51	0.0	E123	22	0.0
MULET	N21	35	2.0	E113	47	52.0
MUMAN	N34	06	30.0	E096	30	0.0
MUREL	N24	12	18.0	E111	16	36.0
MV	N40	18	40.0	E107	00	10.0
MXZ	N24	15	49.0	E116	05	45.0
MYC	N24	47	10.0	E125	18	4.0
MYG	N31	26	2.0	E104	43	54.0
MZL	N49	19	42.0	E117	38	42.0
NANAS	N09	47	30.0	E122	59	0.0
NCH	N28	53	0.0	E115	54	36.0
NDG	N47	14	36.0	E123	55	12.0
NF	N27	12	36.0	E116	33	36.0
NG	N43	22	6.0	E128	12	0.0
NGB	N29	49	42.0	E121	27	42.0
NH	N31	04	41.0	E121	34	23.0
NHW	N31	04	48.0	E121	34	24.0
NIKET	N18	34	18.0	E118	21	24.0
NIKUN	N27	59	18.0	E106	42	48.0
NIMIX	N01	24	54.0	E107	59	24.0
NINAS	N31	00	0.0	E122	15	0.0
NIS	N02	14	54.0	E111	59	48.0
NIVUX	N26	00	0.0	E100	00	0.0
NIXAL	N43	12	42.0	E110	53	0.0
NJIN1	N37	39	0.0	E116	48	0.0
NJIN2	N37	37	0.0	E116	48	0.0
NKG	N31	59	42.0	E118	48	42.0
NL	N22	22	0.0	E106	52	0.0
NLG	N22	31	54.0	E113	33	48.0
NNG	N22	37	6.0	E108	11	12.0
NNX	N25	05	55.0	E114	16	21.0
NO	N32	04	24.0	E112	16	30.0
NOB	N21	12	48.0	E105	50	0.0
NODOG	N24	34	24.0	E111	17	42.0
NOLEP	N38	34	30.0	E088	42	30.0
NOMAR	N23	30	30.0	E113	51	24.0
NONIT	N38	40	48.0	E113	56	0.0
NOPIK	N37	18	54.0	E125	39	30.0
NS	N25	05	54.0	E114	16	24.0
NSE	N31	44	48.0	E118	51	54.0
NSH	N33	19	12.0	E108	18	48.0
NTG	N32	03	54.0	E120	58	48.0
NUGLA	N35	47	12.0	E109	22	36.0
NUKTI	N41	52	36.0	E095	13	42.0
NW	N21	15	19.0	E110	20	48.0
NX	N36	19	43.0	E120	21	13.0
NYB	N20	00	54.0	E110	08	18.0
NYNT	N39	44	44.0	E116	23	9.0
OB	N40	17	12.0	E116	31	48.0
OBLIK	N32	19	48.0	E114	31	24.0
